City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Porto Novo,BJ,6.4965,2.6036,86.0,79,40,16.11,scattered clouds
188,Severo-Kurilsk,RU,50.6789,156.125,32.14,82,100,28.66,light snow
189,Itarema,BR,-2.9248,-39.9167,80.65,79,96,13.82,overcast clouds
190,Richards Bay,ZA,-28.783,32.0377,68.86,91,16,5.88,few clouds
191,Qaqortoq,GL,60.7167,-46.0333,41.0,56,75,9.22,broken clouds
192,Araouane,ML,18.9048,-3.5265,87.51,11,0,9.19,clear sky
193,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,3.44,light rain
194,Mmabatho,ZA,-25.85,25.6333,60.8,88,12,3.44,few clouds
195,Mecca,SA,21.4267,39.8261,79.7,44,100,2.62,overcast clouds
196,Havoysund,NO,70.9963,24.6622,30.2,74,20,2.3,few clouds
197,Baiao,BR,-2.7906,-49.6717,80.01,76,100,3.18,overcast clouds
198,Nizhniy Kuranakh,RU,58.8353,125.4869,24.39,87,100,4.9,overcast clouds
199,Pangody,RU,65.85,74.4859,8.83,98,100,6.42,overcast clouds
200,Airai,TL,-8.9266,125.4092,58.44,93,85,2.04,overcast clouds
201,Nalut,LY,30.3333,10.85,67.05,43,31,16.08,scattered clouds
202,Qom,IR,34.6401,50.8764,71.31,25,98,7.61,overcast clouds
203,Pouembout,NC,-21.1333,164.9,73.96,88,100,8.81,light rain
204,Sikasso,ML,10.9167,-7.0,89.51,8,24,5.08,few clouds
205,Bandiagara,ML,14.3501,-3.6104,87.94,8,20,10.38,few clouds
206,Asau,RO,46.4333,26.4,41.0,42,40,5.75,scattered clouds
207,Narsaq,GL,60.9167,-46.05,41.0,56,75,9.22,broken clouds
208,Acajutla,SV,13.5928,-89.8275,91.4,35,20,4.61,few clouds
209,Sale,MA,34.0389,-6.8166,63.0,88,75,3.44,broken clouds
210,Constantine,DZ,36.365,6.6147,51.8,71,40,4.61,scattered clouds
211,Vestmanna,FO,62.1564,-7.1664,28.4,69,40,26.46,light snow
212,Muros,ES,42.7762,-9.0603,55.99,78,22,5.39,few clouds
213,Anadyr,RU,64.75,177.4833,-11.0,77,0,2.24,clear sky
214,Souillac,MU,-20.5167,57.5167,78.8,78,40,11.5,scattered clouds
215,Cockburn Town,TC,21.4612,-71.1419,77.0,57,40,13.8,scattered clouds
216,Ilulissat,GL,69.2167,-51.1,33.8,80,90,10.36,snow
217,San Policarpo,PH,12.1791,125.5072,78.39,74,95,5.57,overcast clouds
218,Samarai,PG,-10.6167,150.6667,79.99,82,99,11.41,overcast clouds
219,Salisbury,GB,51.0693,-1.7957,46.0,76,75,8.05,broken clouds
220,Rocky Mountain House,CA,52.3668,-114.9188,37.4,52,100,12.66,overcast clouds
221,Mikun,RU,62.3547,50.0771,37.45,96,100,14.2,moderate rain
222,Guerrero Negro,MX,27.9769,-114.0611,75.81,45,0,19.71,clear sky
223,Mosquera,CO,4.7059,-74.2302,59.0,88,40,2.3,scattered clouds
224,Cherskiy,RU,68.75,161.3,0.75,86,59,4.83,broken clouds
225,Pathein,MM,16.7833,94.7333,76.91,80,0,5.82,clear sky
226,Esperance,AU,-33.8667,121.9,59.0,100,90,8.05,overcast clouds
227,Castro,BR,-24.7911,-50.0119,66.83,67,88,7.81,overcast clouds
228,Kemijarvi,FI,66.7131,27.4306,25.32,90,41,3.29,scattered clouds
229,Ciudad Bolivar,VE,8.1222,-63.5497,97.56,28,86,4.29,overcast clouds
230,Velka Bites,CZ,49.2884,16.2274,33.01,64,0,5.75,clear sky
231,Ilo,PE,-17.6394,-71.3375,71.6,73,90,8.05,overcast clouds
232,Emporia,US,38.4039,-96.1817,64.4,52,75,19.57,broken clouds
233,Benjamin Constant,BR,-4.3831,-70.0311,86.0,74,20,6.91,few clouds
234,Karatsu,JP,33.4425,129.9697,48.2,87,10,3.44,clear sky
235,Duldurga,RU,50.6761,113.5931,38.64,49,91,2.21,overcast clouds
236,Tambura,SS,5.6,27.4667,73.44,77,100,3.53,overcast clouds
237,Tiznit,MA,29.5833,-9.5,56.57,69,56,3.42,broken clouds
238,Bintulu,MY,3.1667,113.0333,77.0,88,20,4.61,few clouds
239,Prabumulih,ID,-3.45,104.25,73.38,96,98,2.71,overcast clouds
240,Vilya,RU,55.2456,42.2089,32.5,80,99,7.65,overcast clouds
241,Saint Anthony,US,45.0205,-93.218,66.2,77,75,3.44,broken clouds
242,Otofuke,JP,42.9917,143.2003,30.2,51,0,5.44,clear sky
243,Miandoab,IR,36.9694,46.1027,58.55,47,100,4.03,overcast clouds
244,Coihaique,CL,-45.5752,-72.0662,53.6,76,75,4.61,light rain
245,Bay Roberts,CA,47.5999,-53.2648,41.0,99,96,8.99,light rain
246,Auki,SB,-8.7676,160.7034,75.88,89,100,9.22,light rain
247,Cidreira,BR,-30.1811,-50.2056,74.66,81,27,22.75,scattered clouds
248,Pimentel,PE,-6.8367,-79.9342,78.8,61,0,23.02,clear sky
249,Pandan,PH,14.0453,124.1694,76.75,81,50,5.79,scattered clouds
250,Igunga,TZ,-4.2833,33.8833,66.13,86,15,5.91,few clouds
